model,fips_state,parameter,element,hyperdistribution,2023-2024,2024-2025,2025-2026
SIR-1S,0,rho_h,0,lognorm,0.006348522132793,0.0152753969249581,0.0176972629272266
SIR-1S,0,f_R,0,norm,0.3620535560839353,0.3042023972091114,0.3649854630088614
SIR-1S,0,f_I,0,lognorm,0.0002302787159313,1.5533440721116887e-05,7.13678618774804e-05
SIR-1S,0,beta,0,norm,0.4549614854915575,0.444381874855751,0.4612342778560477
SIR-1S,0,delta_beta_temporal,0,norm,0.0848144394451269,0.1212374705255722,-0.0051504594043606
SIR-1S,0,delta_beta_temporal,1,norm,0.1258828526397071,0.1037565215784535,0.1190062749944037
SIR-1S,0,delta_beta_temporal,2,norm,0.1269394913785948,0.0462816688831315,0.1590413109500926
SIR-1S,0,delta_beta_temporal,3,norm,0.1415569883114407,0.0830800844859597,0.1669696792842024
SIR-1S,0,delta_beta_temporal,4,norm,0.2508421093006943,0.2523211560256025,0.3263779410251174
SIR-1S,0,delta_beta_temporal,5,norm,-0.0160008760982798,-0.0721213909179251,-0.1271931386007508
SIR-1S,0,delta_beta_temporal,6,norm,0.0275838841455761,0.0733871381527496,-0.105968073775266
SIR-1S,0,delta_beta_temporal,7,norm,0.0948927658998537,0.048758663682083,0.0795339129783198
SIR-1S,0,delta_beta_temporal,8,norm,0.1392337563586675,-0.070070592027184,-0.0367537483630788
SIR-1S,0,delta_beta_temporal,9,norm,0.0875415206762154,-0.0604757280545725,-0.0349537721054696
SIR-1S,0,delta_beta_temporal,10,norm,0.0691701852643372,-0.0879645163205807,-0.1419749001446202
SIR-1S,0,delta_beta_temporal,11,norm,0.1344345221423149,-0.1153701773704129,-0.0491636947825528
SIR-1S,1,rho_h,0,lognorm,0.0035592691537164,0.0070446409555565,0.0061039283810784
SIR-1S,1,f_R,0,norm,0.3162655489571043,0.2601435185498141,0.297917262407712
SIR-1S,1,f_I,0,lognorm,0.0001478300121384,5.192182927795673e-06,9.362146251360375e-05
SIR-1S,1,beta,0,norm,0.4730798833158957,0.4663606609859343,0.4528900555790459
SIR-1S,1,delta_beta_temporal,0,norm,-0.0398648866811825,0.0046255585789356,-0.1224787474291952
SIR-1S,1,delta_beta_temporal,1,norm,0.007422639809816,0.010558844780828,-0.025599734596743
SIR-1S,1,delta_beta_temporal,2,norm,-0.0185142881555168,-0.0510998068396254,0.0275842696820471
SIR-1S,1,delta_beta_temporal,3,norm,0.0480861516039125,0.0773101265908532,0.1326137404070054
SIR-1S,1,delta_beta_temporal,4,norm,0.147659843847976,0.1122190043756699,0.2394940045608633
SIR-1S,1,delta_beta_temporal,5,norm,-0.0402056609559581,-0.1903752401858593,-0.1847987435784004
SIR-1S,1,delta_beta_temporal,6,norm,-0.0928802706246583,0.0409504964921578,-0.0199207373185374
SIR-1S,1,delta_beta_temporal,7,norm,0.0418288247553745,-0.0495092633521105,0.1809541453672769
SIR-1S,1,delta_beta_temporal,8,norm,0.0684224719200174,-0.0837669499627956,-0.0634694554052934
SIR-1S,1,delta_beta_temporal,9,norm,0.0893067938719607,0.0787395145169159,-0.095987752568668
SIR-1S,1,delta_beta_temporal,10,norm,0.0722815749558428,-0.0312774660369068,-0.0512965907960988
SIR-1S,1,delta_beta_temporal,11,norm,-0.021746804501827,-0.0527939669003932,0.0572893588436169
SIR-1S,2,rho_h,0,lognorm,0.0022551221440707,0.0054178127444285,0.0030913022313803
SIR-1S,2,f_R,0,norm,0.3087457795020323,0.2977638743540817,0.3001248876020511
SIR-1S,2,f_I,0,lognorm,0.0009183559553699,6.02501224319266e-05,4.1640553194619075e-05
SIR-1S,2,beta,0,norm,0.4791518979071939,0.4658901852784204,0.4771189524218553
SIR-1S,2,delta_beta_temporal,0,norm,0.0337508059296966,-0.03415120506706,-0.0456025434321683
SIR-1S,2,delta_beta_temporal,1,norm,-0.0114518879256004,-0.019778647026289,-0.0156812645789555
SIR-1S,2,delta_beta_temporal,2,norm,-0.0476287700489321,-0.0108889052914759,0.0301550033435217
SIR-1S,2,delta_beta_temporal,3,norm,-0.0247271930208879,0.0039960779949917,0.0825639116902556
SIR-1S,2,delta_beta_temporal,4,norm,-0.0171047733057102,0.0277079935436838,0.1367771372683682
SIR-1S,2,delta_beta_temporal,5,norm,0.0178412344292632,-0.0309279671546921,-0.0534514505032265
SIR-1S,2,delta_beta_temporal,6,norm,0.0236599694783225,-0.0602212074875549,-0.0389629390103276
SIR-1S,2,delta_beta_temporal,7,norm,0.0242778965496948,0.0527751691494317,0.0135436229912076
SIR-1S,2,delta_beta_temporal,8,norm,0.0175319584915368,0.0944365202983902,0.0229676088014262
SIR-1S,2,delta_beta_temporal,9,norm,0.0225012656108077,0.0327768830278907,0.0482103348819153
SIR-1S,2,delta_beta_temporal,10,norm,0.0089139616126575,0.0182375242125953,0.0077264733023721
SIR-1S,2,delta_beta_temporal,11,norm,0.0062974022241693,0.020100813586192,0.0034176826663572
SIR-1S,4,rho_h,0,lognorm,0.0083921129586512,0.014281499424107,0.0058125563731027
SIR-1S,4,f_R,0,norm,0.263926881568337,0.2338861445635778,0.3099209961182165
SIR-1S,4,f_I,0,lognorm,2.6145594606636113e-05,1.5594063742673842e-05,4.54253563577164e-05
SIR-1S,4,beta,0,norm,0.458000620753322,0.4505408838393508,0.4628749343693358
SIR-1S,4,delta_beta_temporal,0,norm,-0.0276986579597185,0.0783330244079158,-0.0803162359814039
SIR-1S,4,delta_beta_temporal,1,norm,0.0461475122343114,-0.0121526487403443,-0.0267899735601778
SIR-1S,4,delta_beta_temporal,2,norm,-0.0450290606038416,-0.0366992093723754,0.0284210472160493
SIR-1S,4,delta_beta_temporal,3,norm,0.0383260626465341,-0.0478777140893001,0.050835485329151
SIR-1S,4,delta_beta_temporal,4,norm,0.0626854993473521,0.1233925808973884,0.2073426162457194
SIR-1S,4,delta_beta_temporal,5,norm,-0.1448776951678051,-0.1743809870551927,-0.1824034123807238
SIR-1S,4,delta_beta_temporal,6,norm,-0.0663965734023039,-0.1268391550216547,-0.0237771200546053
SIR-1S,4,delta_beta_temporal,7,norm,-0.2318433252391687,-0.0004702979403196,0.1051705806528962
SIR-1S,4,delta_beta_temporal,8,norm,0.01086125486605,0.0196102078643021,-0.0611921689364626
SIR-1S,4,delta_beta_temporal,9,norm,-0.0455939843699784,-0.0230593410250044,-0.0886255666147531
SIR-1S,4,delta_beta_temporal,10,norm,-0.0176650391947129,-0.0523012505942546,-0.0906168084603048
SIR-1S,4,delta_beta_temporal,11,norm,0.0603962332864568,-0.0764614768033133,-0.0267541121298269
SIR-1S,5,rho_h,0,lognorm,0.0063178449178877,0.0068456091726579,0.0040910341939654
SIR-1S,5,f_R,0,norm,0.2989495528970826,0.2768412203287566,0.2878919961854519
SIR-1S,5,f_I,0,lognorm,7.103004346908745e-05,4.994994183353028e-06,2.076052891153632e-05
SIR-1S,5,beta,0,norm,0.4633229462788283,0.4719699444343289,0.4789276774053095
SIR-1S,5,delta_beta_temporal,0,norm,-0.0712115817897939,-0.039642414539967,-0.0422712179263495
SIR-1S,5,delta_beta_temporal,1,norm,-0.0388441719481384,-0.034479072843802,0.0004304036195152
SIR-1S,5,delta_beta_temporal,2,norm,-0.0259101329517268,-0.026498013302179,0.0445700897586902
SIR-1S,5,delta_beta_temporal,3,norm,-0.0122525974550955,0.028243855168211,-0.0021207798717657
SIR-1S,5,delta_beta_temporal,4,norm,0.1450395149307024,0.0949670257341028,0.1236621188011745
SIR-1S,5,delta_beta_temporal,5,norm,0.0134397167082681,-0.0770955442548015,-0.1694254463444454
SIR-1S,5,delta_beta_temporal,6,norm,-0.0028382369655223,0.1037865613191183,0.0317610223873104
SIR-1S,5,delta_beta_temporal,7,norm,0.0360520965985854,0.0580282673932952,0.1427728498195747
SIR-1S,5,delta_beta_temporal,8,norm,0.0869244818948958,-0.0678418339472671,0.0026537590656137
SIR-1S,5,delta_beta_temporal,9,norm,0.0760495563132774,0.0581858030194122,0.0182518295498983
SIR-1S,5,delta_beta_temporal,10,norm,-0.0405577652226935,-0.0132044978070966,-0.0369244751485218
SIR-1S,5,delta_beta_temporal,11,norm,0.0445298128007648,-0.0254046266713029,-0.0220608094821197
SIR-1S,6,rho_h,0,lognorm,0.0030212774092704,0.0073291351561038,0.0078883989465672
SIR-1S,6,f_R,0,norm,0.3090980817475799,0.2438459833317353,0.3436882056439402
SIR-1S,6,f_I,0,lognorm,8.755887078252873e-05,1.2068854746459751e-05,9.010117394910022e-05
SIR-1S,6,beta,0,norm,0.4523858648705556,0.4439480579103744,0.4639033830512254
SIR-1S,6,delta_beta_temporal,0,norm,-0.0308738895930155,-0.0100122668249113,-0.0480345394659566
SIR-1S,6,delta_beta_temporal,1,norm,0.1783616276720395,0.0278510233196848,-0.0205175588637617
SIR-1S,6,delta_beta_temporal,2,norm,0.0950406656044623,0.0502330120537766,0.0207171370403381
SIR-1S,6,delta_beta_temporal,3,norm,0.0748862258462737,0.0269500091762313,0.1236347634868525
SIR-1S,6,delta_beta_temporal,4,norm,0.1191258737267529,0.0976268341172284,0.2312770185729998
SIR-1S,6,delta_beta_temporal,5,norm,-0.0930971093778156,-0.1393817780335092,-0.0332793468318961
SIR-1S,6,delta_beta_temporal,6,norm,-0.0354733314238206,0.0384176983899429,0.0104022093123942
SIR-1S,6,delta_beta_temporal,7,norm,-0.0769068301182236,-0.0678680884321772,0.085051069519231
SIR-1S,6,delta_beta_temporal,8,norm,0.0051616066119402,-0.1443289055135728,-0.0880598451260333
SIR-1S,6,delta_beta_temporal,9,norm,0.0108700223365975,-0.0642783635580371,-0.1004429499447215
SIR-1S,6,delta_beta_temporal,10,norm,0.0824542356963081,-0.0623769290583375,-0.0694734326035033
SIR-1S,6,delta_beta_temporal,11,norm,0.1324460265669578,-0.0258667469308236,-0.0698300913336741
SIR-1S,8,rho_h,0,lognorm,0.0036491602161511,0.005879543775097,0.0044740320863251
SIR-1S,8,f_R,0,norm,0.2987254847703463,0.2760296165401802,0.2700319049390818
SIR-1S,8,f_I,0,lognorm,5.433951810524796e-05,8.656247458952116e-06,1.554932891373321e-05
SIR-1S,8,beta,0,norm,0.4702778416642592,0.4713451405834334,0.4685617016002774
SIR-1S,8,delta_beta_temporal,0,norm,-0.0114207596436828,-0.0085876269226011,-0.026377114983627
SIR-1S,8,delta_beta_temporal,1,norm,0.0796157100860141,-0.0274372965035439,0.0398421854958759
SIR-1S,8,delta_beta_temporal,2,norm,0.0110893137490703,-0.0015810651777413,0.0677378591869123
SIR-1S,8,delta_beta_temporal,3,norm,-0.0054022270819796,-0.0161558273072723,0.024660846320164
SIR-1S,8,delta_beta_temporal,4,norm,0.0570532106539974,0.2036146861951584,0.1451364128555239
SIR-1S,8,delta_beta_temporal,5,norm,-0.0551205644044734,-0.1173309436348417,-0.1816769356186982
SIR-1S,8,delta_beta_temporal,6,norm,-0.031677920148428,-0.0711094796476278,-0.1868099134401691
SIR-1S,8,delta_beta_temporal,7,norm,0.0227142082715387,0.0769756855959534,0.0116674141442119
SIR-1S,8,delta_beta_temporal,8,norm,-0.0150601821291609,-0.0262747117189583,0.0837269273138963
SIR-1S,8,delta_beta_temporal,9,norm,0.0624256416681448,-0.0342994307828136,0.0740217317585351
SIR-1S,8,delta_beta_temporal,10,norm,0.0822083610815917,-0.036290730401982,-0.0413150903995684
SIR-1S,8,delta_beta_temporal,11,norm,0.0282242860081021,-5.669570177471196e-05,0.0253934428648741
SIR-1S,9,rho_h,0,lognorm,0.0043699199045404,0.0056243268399282,0.0047778785781047
SIR-1S,9,f_R,0,norm,0.3032125633042233,0.2848007361147459,0.2774561613224873
SIR-1S,9,f_I,0,lognorm,3.1544461090005446e-05,3.1167949105273385e-06,7.943062236146475e-06
SIR-1S,9,beta,0,norm,0.4711758780564051,0.4845400853217126,0.4890964289105954
SIR-1S,9,delta_beta_temporal,0,norm,-0.0352057391088794,-0.0341204428889024,-0.0485578864488422
SIR-1S,9,delta_beta_temporal,1,norm,0.0028470603969944,-0.0602581485482634,-0.0310348611380667
SIR-1S,9,delta_beta_temporal,2,norm,0.057065713305471,-0.0399027820602166,0.0710713419883105
SIR-1S,9,delta_beta_temporal,3,norm,0.0601464529810692,0.0077858047062002,0.0760271393617119
SIR-1S,9,delta_beta_temporal,4,norm,0.0293554282193884,0.1985589967515837,0.1478817699043835
SIR-1S,9,delta_beta_temporal,5,norm,-0.075838079318747,-0.0684345095008253,-0.142611019295587
SIR-1S,9,delta_beta_temporal,6,norm,-0.0562751016017212,0.0027617162203907,-0.2553104821524675
SIR-1S,9,delta_beta_temporal,7,norm,-0.0167747504029208,0.0321865983618795,-0.070171297586
SIR-1S,9,delta_beta_temporal,8,norm,0.122045381558925,-0.0748930231340928,0.0508273418800484
SIR-1S,9,delta_beta_temporal,9,norm,-0.0093859183598046,-0.0587937250195137,0.1083671751427251
SIR-1S,9,delta_beta_temporal,10,norm,0.0100432792437819,-0.0134411387407261,0.1240198318314538
SIR-1S,9,delta_beta_temporal,11,norm,0.0791076629981134,0.0252772452075021,0.0814520988641261
SIR-1S,10,rho_h,0,lognorm,0.0028846311790515,0.0071197789965127,0.0055452222026574
SIR-1S,10,f_R,0,norm,0.3049407682719902,0.2680003781551413,0.2734854844910246
SIR-1S,10,f_I,0,lognorm,5.043350861723565e-05,5.982813605297619e-06,1.0296147996031098e-05
SIR-1S,10,beta,0,norm,0.4712504452079099,0.4711260570838226,0.479749199406286
SIR-1S,10,delta_beta_temporal,0,norm,-0.0424217184960821,-0.0483541928610547,-0.0575623357869084
SIR-1S,10,delta_beta_temporal,1,norm,-0.0268219472123378,-0.0313189619964469,-0.0295237025509209
SIR-1S,10,delta_beta_temporal,2,norm,0.0083839147760739,-0.0280790487210019,-0.0066077293732589
SIR-1S,10,delta_beta_temporal,3,norm,0.0622336505679854,0.0404025785151393,0.074977628547189
SIR-1S,10,delta_beta_temporal,4,norm,0.0909654772346729,0.1431324570318388,0.1511512341976344
SIR-1S,10,delta_beta_temporal,5,norm,-0.0379917943043174,-0.0937655512094065,-0.075420333792039
SIR-1S,10,delta_beta_temporal,6,norm,-0.0363112531693276,-0.0111483274098035,-0.0678613856229912
SIR-1S,10,delta_beta_temporal,7,norm,0.0271562741560434,0.1402713746927377,0.003235986142286
SIR-1S,10,delta_beta_temporal,8,norm,0.0456904252936673,0.0063737476536372,0.0903824054399398
SIR-1S,10,delta_beta_temporal,9,norm,0.0429128787183325,0.0173985734663845,0.0654597868923555
SIR-1S,10,delta_beta_temporal,10,norm,0.0267205396275604,0.0435866901447676,0.0038195775778424
SIR-1S,10,delta_beta_temporal,11,norm,0.0111659480516908,0.0178503733265209,-0.0107516194174426
SIR-1S,11,rho_h,0,lognorm,0.0042533857623758,0.0087048465496621,0.0030513286685854
SIR-1S,11,f_R,0,norm,0.2970366253838551,0.2673660852583873,0.2826982845534164
SIR-1S,11,f_I,0,lognorm,4.325174805432012e-05,3.520017477377365e-06,3.460086914551253e-05
SIR-1S,11,beta,0,norm,0.470856599087289,0.4714225067583799,0.48466805126208
SIR-1S,11,delta_beta_temporal,0,norm,-0.0358875148729479,-0.0374396248644094,-0.0518985385745315
SIR-1S,11,delta_beta_temporal,1,norm,-0.0114195002360397,-0.0415799199449629,0.0008162843161956
SIR-1S,11,delta_beta_temporal,2,norm,0.0239630261743239,-0.0267114535139681,0.0159633303231468
SIR-1S,11,delta_beta_temporal,3,norm,0.0384654213351958,-0.0088135231732724,0.0514595652849787
SIR-1S,11,delta_beta_temporal,4,norm,0.0583038906363597,0.0694827015253008,0.1442300060363763
SIR-1S,11,delta_beta_temporal,5,norm,-0.0620051805681295,-0.0557440985783328,0.0397958400781587
SIR-1S,11,delta_beta_temporal,6,norm,-0.1041313968539482,0.1311177757537304,-0.0204097506263744
SIR-1S,11,delta_beta_temporal,7,norm,-0.0202082587385514,-0.0539598039247783,-0.0145345274499513
SIR-1S,11,delta_beta_temporal,8,norm,0.0528607803600585,0.0051331521631049,-0.0010618347633904
SIR-1S,11,delta_beta_temporal,9,norm,0.0906498383695292,0.1105246578083175,0.0066313188808781
SIR-1S,11,delta_beta_temporal,10,norm,0.0531997974244594,0.0852792042221935,0.0028313418755639
SIR-1S,11,delta_beta_temporal,11,norm,0.0529755360774861,-0.0252538152055873,0.0018758881235515
SIR-1S,12,rho_h,0,lognorm,0.0082267306507014,0.0144725344559947,0.0158538313476803
SIR-1S,12,f_R,0,norm,0.3312792698172587,0.252093525406165,0.2740294855163653
SIR-1S,12,f_I,0,lognorm,0.0003523332879617,3.412657350958565e-05,0.0001460024967272
SIR-1S,12,beta,0,norm,0.4525067658324145,0.4269233332109057,0.4195705320527687
SIR-1S,12,delta_beta_temporal,0,norm,0.0323207551857969,-0.0200514695000839,-0.0550466737564202
SIR-1S,12,delta_beta_temporal,1,norm,0.0738987678603287,0.1073841851012281,0.0591500262142082
SIR-1S,12,delta_beta_temporal,2,norm,0.0441313475224304,-0.0059352604574188,0.0987412226486106
SIR-1S,12,delta_beta_temporal,3,norm,-0.0033594947370954,-0.0212881250851728,0.0105394719864303
SIR-1S,12,delta_beta_temporal,4,norm,0.1363872354227834,0.1511642153529035,0.1864843531336532
SIR-1S,12,delta_beta_temporal,5,norm,0.0009346566312252,-0.0602394122877592,-0.0418510224361865
SIR-1S,12,delta_beta_temporal,6,norm,-0.0445326181811482,0.0506802045684462,-0.109547474844642
SIR-1S,12,delta_beta_temporal,7,norm,0.0686844710858838,-0.041686225918523,0.166046701567034
SIR-1S,12,delta_beta_temporal,8,norm,0.0107849315597669,-0.1121488089985023,-0.0750511675225721
SIR-1S,12,delta_beta_temporal,9,norm,0.0761887727694346,-0.0585116273927888,-0.1171419907305468
SIR-1S,12,delta_beta_temporal,10,norm,0.0446637626535381,-0.0491317722949458,-0.1537336392835103
SIR-1S,12,delta_beta_temporal,11,norm,0.067504640486988,-0.085593711493897,-0.0242507502238752
SIR-1S,13,rho_h,0,lognorm,0.0044400467342413,0.005294922737231,0.0045605150204485
SIR-1S,13,f_R,0,norm,0.3236664750172025,0.2853679072440056,0.2915459901887505
SIR-1S,13,f_I,0,lognorm,0.0001224688163656,3.3556184219291447e-06,4.816470122542668e-05
SIR-1S,13,beta,0,norm,0.4687639854425398,0.4819617101535416,0.4653670227008389
SIR-1S,13,delta_beta_temporal,0,norm,-0.0679346200283051,-0.0225531586640319,-0.0892773765552439
SIR-1S,13,delta_beta_temporal,1,norm,0.0736197074443979,0.0009570399469391,-0.0097705656224849
SIR-1S,13,delta_beta_temporal,2,norm,0.0261848347619609,-0.0592855456785589,0.0376587588985364
SIR-1S,13,delta_beta_temporal,3,norm,0.0882047827910891,0.0555819052909341,0.0749678907816997
SIR-1S,13,delta_beta_temporal,4,norm,0.2101994056624139,0.165294816693843,0.2714629376264694
SIR-1S,13,delta_beta_temporal,5,norm,-0.1100333709759375,-0.1372862174413665,-0.2468953850754995
SIR-1S,13,delta_beta_temporal,6,norm,-0.0005922368382383,0.0366503052896454,-0.1052954696140991
SIR-1S,13,delta_beta_temporal,7,norm,0.0134370472255208,-0.0394471857800845,0.1467600457924594
SIR-1S,13,delta_beta_temporal,8,norm,0.0447851392316196,-0.1561552055933295,0.0112004848432807
SIR-1S,13,delta_beta_temporal,9,norm,0.0376979484783456,0.0777836371954269,-0.0341057151907096
SIR-1S,13,delta_beta_temporal,10,norm,0.0128114084510411,-0.0268788485453455,-0.0586033652305703
SIR-1S,13,delta_beta_temporal,11,norm,0.0767562104429181,-0.0348135917287958,0.0364308478942383
SIR-1S,15,rho_h,0,lognorm,0.0029703335503762,0.0064284867211348,0.0039274432029058
SIR-1S,15,f_R,0,norm,0.3236519253351649,0.288875297085521,0.3044973436672484
SIR-1S,15,f_I,0,lognorm,0.0004448999538292,1.9047533868260505e-05,6.968681231140275e-05
SIR-1S,15,beta,0,norm,0.4675029056013463,0.4637897816359125,0.4732248873398265
SIR-1S,15,delta_beta_temporal,0,norm,-0.0230711837391322,-0.0169872732287383,-0.0053192705640772
SIR-1S,15,delta_beta_temporal,1,norm,0.0074043194755891,-0.0077549439731456,0.0193778920288221
SIR-1S,15,delta_beta_temporal,2,norm,0.0051493131955131,-0.0062866265332548,0.0316029807908578
SIR-1S,15,delta_beta_temporal,3,norm,0.0021902026082924,0.0264170378444984,0.0511696516625342
SIR-1S,15,delta_beta_temporal,4,norm,0.0230830387869977,0.065153147158824,0.0291049724051969
SIR-1S,15,delta_beta_temporal,5,norm,0.0093229716422407,-0.0048910865196102,-0.0532248301088646
SIR-1S,15,delta_beta_temporal,6,norm,-0.0198671196791552,-0.1244857212067029,-0.0927244694124998
SIR-1S,15,delta_beta_temporal,7,norm,0.0001975239994522,-0.0286012418837453,-0.0360561327581253
SIR-1S,15,delta_beta_temporal,8,norm,0.0408956276562076,-0.0237509433901318,0.0011663382441932
SIR-1S,15,delta_beta_temporal,9,norm,0.0392379490303089,-0.0262969098939571,0.034243075813173
SIR-1S,15,delta_beta_temporal,10,norm,0.029373423798958,-0.027678879406774,0.0189680786522854
SIR-1S,15,delta_beta_temporal,11,norm,0.0241579922909749,0.0380134356850979,0.031346214812434
SIR-1S,16,rho_h,0,lognorm,0.0038794945747815,0.0060328957869368,0.0049182426547401
SIR-1S,16,f_R,0,norm,0.300482755765594,0.2550482467176516,0.2923134131379749
SIR-1S,16,f_I,0,lognorm,1.899977476596868e-05,9.647336799413582e-06,3.279061245249375e-05
SIR-1S,16,beta,0,norm,0.4813649578422986,0.465733083322537,0.4706790624892863
