,name_state,y0_sum,y1_sum,y2_sum,p_02_mean,p_02_median,p_02_low_90,p_02_high_90,p_12_mean,p_12_median,p_12_low_90,p_12_high_90
0,AK,4.0,10.0,10.0,0.7741935483870968,0.7801434142311132,0.6429908854383468,0.8850131044302613,0.9836065573770492,0.9885140203528962,0.9512970866899025,0.9991454770730508
1,AL,95.0,114.0,114.0,0.8518518518518519,0.8535914242490646,0.7989227144852746,0.8988402630851694,0.9939393939393939,0.9957824119130259,0.9818991640129494,0.99968728491539
2,AR,156.0,121.0,108.0,1.3643410852713178,1.0,1.0,1.0,1.0754716981132075,1.0,1.0,1.0
3,AZ,103.0,111.0,112.0,0.924812030075188,0.9269374023191581,0.88403897529548,0.9583249748077614,0.9877300613496932,0.9896614944772362,0.971053089127699,0.9978020264234739
4,CA,466.0,510.0,512.0,0.9118198874296435,0.9123348813469364,0.8907930396985408,0.931089443583209,0.9946714031971581,0.995244737881898,0.988840257992581,0.9985434993569031
5,CO,287.0,289.0,289.0,0.9903225806451613,0.9913555153814478,0.9797664292157833,0.9973486674106232,0.9970588235294118,0.9979574069896003,0.9912019628838655,0.999848703793365
6,CT,111.0,115.0,115.0,0.9632352941176471,0.9654865119073015,0.9334822973739589,0.9852949241897343,0.9939759036144579,0.9958079194005148,0.9820078731719949,0.9996891798637566
7,DC,23.0,34.0,34.0,0.7818181818181819,0.785251473949712,0.6854231455064383,0.8664718405812311,0.9882352941176471,0.9917822001045341,0.9649649693950579,0.9993895519422828
8,DE,14.0,17.0,17.0,0.8947368421052632,0.9016512858384947,0.8035710601755338,0.9622199897340751,0.9852941176470589,0.9897078501065013,0.9562724452181105,0.9992347214171129
9,FL,1486.0,1608.0,1646.0,0.9034193161367726,0.9035806473503201,0.8912534587997254,0.9150347997485674,0.9770182675309369,0.9772054402375272,0.9707343478368379,0.9826635933500224
10,GA,293.0,315.0,315.0,0.9315476190476191,0.9324030772458345,0.9075503362647599,0.9526251338828065,0.9972677595628415,0.9981027686515946,0.9918261037718297,0.9998594803001535
11,HI,85.0,87.0,87.0,0.9722222222222222,0.9750873396144807,0.9423308782726123,0.9923153332924542,0.9927536231884058,0.994953309081075,0.978370683346705,0.9996256664716164
12,IA,31.0,32.0,32.0,0.9622641509433962,0.9679337275112944,0.9119910692428064,0.9931231671166859,0.9879518072289156,0.9915826118753231,0.9641259682893288,0.9993746676215042
13,ID,81.0,62.0,62.0,1.216867469879518,1.0,1.0,1.0,0.9911504424778761,0.9938302971522361,0.973606939576347,0.9995421290121826
14,IL,254.0,259.0,259.0,0.9785714285714285,0.9797012309788994,0.9626901819214579,0.9905939441701815,0.9967741935483871,0.9977593193220607,0.9903519178416021,0.999834016060394
15,IN,178.0,186.0,186.0,0.9565217391304348,0.9579859695075803,0.931021479558256,0.977021626385423,0.9957805907172996,0.9970672446294258,0.9873864453988181,0.9997826791498539
16,KS,27.0,28.0,29.0,0.94,0.9458010457538777,0.8770324955946354,0.9831061215543507,0.975,0.9788460581556995,0.9413553697496604,0.9954832304903453
17,KY,73.0,84.0,84.0,0.8857142857142857,0.8881639947399149,0.8310036905204058,0.9320555553464056,0.9925925925925926,0.9948406154286732,0.9778918371773591,0.9996172874741177
18,LA,313.0,334.0,334.0,0.9380281690140845,0.9388498272761692,0.9156958538215801,0.9575561055717762,0.9974025974025974,0.9981965573777615,0.9922289657036454,0.9998664326334475
19,MA,105.0,158.0,158.0,0.6983240223463687,0.6990641206562725,0.6407947485996779,0.7533267584626249,0.9952153110047847,0.9966731080419281,0.985700661703858,0.9997534280270036
20,MD,179.0,189.0,189.0,0.9476190476190476,0.9490359941465972,0.9201926248748672,0.9702070906401873,0.9958333333333333,0.9971040041015853,0.98754378429893,0.9997854067339209
21,ME,21.0,24.0,25.0,0.8913043478260869,0.8969721666231354,0.8080236829883575,0.9551848530981433,0.9736842105263158,0.9777229426877062,0.9383054571005736,0.9952412854121576
22,MI,150.0,167.0,167.0,0.9042553191489362,0.9056883665212513,0.866758933591813,0.93685887441992,0.9954128440366973,0.9968108694758918,0.9862896371696979,0.9997636533057674
23,MN,115.0,119.0,119.0,0.9642857142857143,0.9664773104494652,0.9353607455931072,0.9857212505536566,0.9941176470588236,0.9959069369035444,0.9824299588612365,0.9996965354370102
24,MO,94.0,97.0,97.0,0.9661016949152542,0.9687048386758333,0.9350649852549251,0.9882394006226592,0.9932432432432432,0.9952958125702418,0.9798271199313364,0.999651126894954
25,MS,64.0,67.0,67.0,0.9545454545454546,0.9579550247423467,0.913286338132999,0.984144963550822,0.9915254237288136,0.9940931793914194,0.9747204672504487,0.999561691859556
26,MT,20.0,24.0,24.0,0.8888888888888888,0.8946484427819741,0.8039215031874395,0.9541411158313401,0.9866666666666667,0.9906768785323466,0.9603256161296866,0.9993070875479275
27,NC,323.0,446.0,448.0,0.7313432835820896,0.7316723643943323,0.6971551102981242,0.7644085868444784,0.9939879759519038,0.9946340333486257,0.9874122599859241,0.9983560955985463
28,ND,12.0,13.0,13.0,0.9411764705882353,0.9496602608260688,0.8641493532014525,0.9891239289566559,0.984375,0.9890579681360733,0.9535615485160618,0.9991861520780205
29,NE,15.0,16.0,16.0,0.9459459459459459,0.9538158131528833,0.8748837951609477,0.9900386521251632,0.9850746268656716,0.9895527258544647,0.9556248273818156,0.999223130792177
30,NH,22.0,27.0,28.0,0.8571428571428571,0.8620142748384332,0.7681182740689707,0.9294995023574062,0.9746835443037974,0.9785760315044056,0.9406215079398729,0.9954250804212706
31,NJ,283.0,283.0,283.0,0.9967105263157895,0.99771500013855,0.9901618095756142,0.9998307295279043,0.9970059880239521,0.9979206418020561,0.9910441516572341,0.999845977945535
32,NM,66.0,70.0,70.0,0.945054945054945,0.9482939936556236,0.9011791538841305,0.9778569330636958,0.9917355371900827,0.9942404238175473,0.9753445989443437,0.9995726472213267
33,NV,37.0,41.0,41.0,0.9193548387096774,0.9238473458386981,0.8561950404588264,0.9671466720920268,0.9891304347826086,0.9924119338606987,0.9676158352635655,0.9994364962522191
34,NY,968.0,1183.0,1207.0,0.8045602605863192,0.8047256376973331,0.7856760060833865,0.8228803295590108,0.980127186009539,0.9803811294699676,0.9732528061370445,0.9861350781794822
35,OH,260.0,262.0,262.0,0.9893992932862191,0.9905288407485047,0.977843929507863,0.9970942810258374,0.9968051118210862,0.9977808404048861,0.9904442431929626,0.9998356119286245
36,OK,34.0,39.0,43.0,0.84375,0.8473401949068572,0.7639486854194295,0.9112759870501477,0.9468085106382979,0.9499559186601024,0.904277665721909,0.9785792841499257
37,OR,37.0,60.0,60.0,0.7037037037037037,0.7053875032356406,0.6179118484757207,0.7837421159552745,0.990990990990991,0.9937184737897888,0.9731335699937322,0.9995338060259458
38,PA,722.0,648.0,648.0,1.109118086696562,1.0,1.0,1.0,0.9985693848354793,0.9990074453719121,0.9957173169069881,0.9999265166049258
39,PR,446.0,453.0,453.0,0.9831223628691983,0.9837974074242887,0.9723831908183571,0.991556843939122,0.998015873015873,0.9986229228382277,0.9940619700381479,0.999898030458914
40,RI,25.0,23.0,23.0,1.0227272727272727,1.0,1.0,1.0,0.9864864864864865,0.9905497699000321,0.9597932057468341,0.9992975989308831
41,SC,112.0,112.0,112.0,0.9924812030075187,0.9947626479992424,0.9775606515105933,0.9996114899260496,0.9938650306748467,0.9957304542373292,0.9816777566534223,0.9996834248464949
42,SD,5.0,5.0,5.0,0.9615384615384616,0.9726549474122855,0.8870718549931568,0.9979503715873792,0.9821428571428571,0.9874764051511072,0.9469889450487462,0.999067829388713
43,TN,150.0,157.0,157.0,0.9550561797752809,0.9567527233741341,0.927003531373836,0.9773141725205488,0.9951923076923077,0.9966570629937589,0.9856320814233149,0.9997522370056279
44,TX,1229.0,1256.0,1260.0,0.9750195160031225,0.9752663765810765,0.9674531261994115,0.9817436251835164,0.996186117467582,0.9964353335941892,0.9930263162140117,0.9984949020715831
45,USA,10028.0,10732.0,10797.0,0.9288223331484563,0.9288487589841019,0.9247116907380944,0.9328428330884989,0.9939159292035398,0.993946257143335,0.9926383504343174,0.995090047419721
46,UT,59.0,58.0,58.0,1.0,1.0,1.0,1.0,0.9908256880733946,0.9936025221110335,0.9726429113002488,0.9995251748541609
47,VA,183.0,182.0,182.0,1.0,1.0,1.0,1.0,0.9957081545064378,0.997016755379641,0.987170371335469,0.9997789326528346
48,VT,2.0,2.0,2.0,0.9565217391304348,0.9689844739012624,0.8726945683451612,0.9976712024849683,0.9811320754716981,0.9867586942598652,0.9440178198737644,0.9990140768344814
49,WA,88.0,92.0,92.0,0.9557522123893806,0.9584201272982295,0.9201384015650159,0.9822470564644105,0.993006993006993,0.9951305760994829,0.979124272650357,0.999638844849217
50,WI,77.0,77.0,77.0,0.9897959183673469,0.9928796236375923,0.9695881959630689,0.9994713429390568,0.9921875,0.9945570151981707,0.9766875895717869,0.9995961973424713
51,WV,10.0,12.0,12.0,0.9090909090909091,0.9173098400475259,0.8160565318230713,0.9739569539514824,0.9841269841269841,0.9888824684134271,0.9528304886246431,0.9991730309277563
52,WY,11.0,18.0,18.0,0.7948717948717948,0.7999454260599012,0.6816823343361259,0.8906929986235025,0.9855072463768116,0.9898584351357704,0.9569014351799117,0.999245971269889
